age;workclass;Income;education;marital status;occupation;gender;hours per week;native country
39;Self-emp-not-inc;327120;HS-grad;Married-civ-spouse;Craft-repair;Male;40;Portugal
32;Private;123253;Assoc-acdm;Married-civ-spouse;Craft-repair;Male;42;United-States
47;Private;232628;HS-grad;Married-civ-spouse;Craft-repair;Male;40;United-States
19;Private;374262;12th;Never-married;Handlers-cleaners;Male;20;United-States
46;Self-emp-not-inc;311231;HS-grad;Married-civ-spouse;Farming-fishing;Male;40;United-States
45;Private;148900;Bachelors;Married-civ-spouse;Prof-specialty;Male;50;United-States
34;Private;118786;Bachelors;Never-married;Sales;Male;20;United-States
38;Self-emp-inc;222532;Prof-school;Never-married;Sales;Female;45;United-States
40;Private;270147;Masters;Never-married;Exec-managerial;Female;40;United-States
47;Private;184005;HS-grad;Divorced;Exec-managerial;Female;45;United-States
35;Private;62333;Bachelors;Never-married;Prof-specialty;Female;40;United-States
23;Private;27073;Some-college;Never-married;Adm-clerical;Female;40;United-States
53;Private;158993;HS-grad;Widowed;Machine-op-inspct;Female;38;United-States
58;Self-emp-not-inc;605504;HS-grad;Married-civ-spouse;Sales;Male;40;United-States
47;Federal-gov;102771;Doctorate;Married-civ-spouse;Prof-specialty;Male;40;United-States
42;State-gov;160369;HS-grad;Never-married;Protective-serv;Male;40;United-States
41;Federal-gov;56236;HS-grad;Divorced;Protective-serv;Male;40;United-States
38;Local-gov;68781;Some-college;Married-civ-spouse;Protective-serv;Male;40;United-States
56;Private;159544;Masters;Married-civ-spouse;Prof-specialty;Male;60;United-States
48;State-gov;212954;Masters;Married-civ-spouse;Prof-specialty;Male;40;United-States
36;Private;199501;Some-college;Divorced;Exec-managerial;Female;38;United-States
40;Private;309311;HS-grad;Married-civ-spouse;Machine-op-inspct;Male;40;United-States
45;Self-emp-not-inc;33234;Bachelors;Married-civ-spouse;Sales;Male;40;United-States
40;State-gov;67874;Masters;Married-civ-spouse;Prof-specialty;Male;58;United-States
33;Private;857532;12th;Never-married;Protective-serv;Male;40;United-States
26;Private;172230;HS-grad;Never-married;Adm-clerical;Male;40;United-States
35;Self-emp-not-inc;153066;HS-grad;Married-civ-spouse;Craft-repair;Male;60;United-States
37;Private;172571;HS-grad;Divorced;Machine-op-inspct;Male;40;United-States
22;Private;216867;7th-8th;Married-civ-spouse;Machine-op-inspct;Male;40;Mexico
57;Private;169329;HS-grad;Married-civ-spouse;Tech-support;Male;40;Trinadad&Tobago
49;Private;34377;12th;Married-civ-spouse;Craft-repair;Male;40;United-States
38;Private;150057;Masters;Married-civ-spouse;Craft-repair;Male;50;Poland
24;Private;88095;Some-college;Never-married;Machine-op-inspct;Female;24;Mexico
27;Private;22422;Some-college;Never-married;Sales;Male;40;United-States
35;Self-emp-not-inc;190387;Bachelors;Married-civ-spouse;Farming-fishing;Male;45;United-States
25;Private;441210;HS-grad;Never-married;Prof-specialty;Male;40;United-States
38;Private;234298;Bachelors;Divorced;Exec-managerial;Male;60;United-States
47;Private;248059;Some-college;Married-civ-spouse;Other-service;Male;47;United-States
53;Private;193720;Some-college;Married-civ-spouse;Exec-managerial;Male;40;United-States
28;Self-emp-not-inc;33363;HS-grad;Married-civ-spouse;Farming-fishing;Male;70;United-States
42;Private;128354;Bachelors;Married-civ-spouse;Adm-clerical;Female;40;United-States
22;Private;141040;HS-grad;Never-married;Sales;Female;35;United-States
29;Private;89598;Bachelors;Married-civ-spouse;Exec-managerial;Female;35;United-States
26;Private;163747;Bachelors;Never-married;Sales;Female;55;United-States
58;Self-emp-inc;174864;HS-grad;Married-civ-spouse;Sales;Male;55;United-States
26;Private;375499;10th;Never-married;Adm-clerical;Male;20;United-States
28;Private;203784;Preschool;Never-married;Farming-fishing;Male;38;Mexico
30;Private;269723;Some-college;Never-married;Sales;Female;45;United-States
37;Local-gov;327120;Some-college;Married-civ-spouse;Transport-moving;Male;30;United-States
50;Private;148431;Masters;Married-civ-spouse;Exec-managerial;Male;55;United-States
24;Private;229826;Bachelors;Never-married;Transport-moving;Male;20;United-States
58;Private;259532;Some-college;Married-civ-spouse;Transport-moving;Male;70;United-States
38;Private;111398;Bachelors;Married-civ-spouse;Prof-specialty;Female;40;United-States
24;Private;121313;HS-grad;Married-civ-spouse;Adm-clerical;Male;40;United-States
30;Federal-gov;314310;Bachelors;Married-civ-spouse;Prof-specialty;Male;40;United-States
25;Private;385646;HS-grad;Never-married;Farming-fishing;Male;40;United-States
32;Local-gov;217296;HS-grad;Married-civ-spouse;Transport-moving;Female;22;United-States
24;Private;34568;Assoc-voc;Never-married;Transport-moving;Male;40;United-States
28;Private;188711;Bachelors;Never-married;Transport-moving;Male;20;United-States
33;Private;202191;Some-college;Never-married;Adm-clerical;Female;35;United-States
31;Private;66278;Some-college;Married-civ-spouse;Prof-specialty;Female;40;United-States
39;Private;140854;HS-grad;Never-married;Prof-specialty;Male;50;United-States
25;Private;242136;HS-grad;Divorced;Machine-op-inspct;Male;40;United-States
48;Private;187715;HS-grad;Married-civ-spouse;Craft-repair;Male;46;United-States
34;Private;150154;HS-grad;Never-married;Adm-clerical;Male;40;United-States
22;Private;58916;Some-college;Never-married;Adm-clerical;Female;30;United-States
20;Local-gov;188950;Some-college;Never-married;Protective-serv;Male;25;United-States
32;Private;113364;Bachelors;Never-married;Prof-specialty;Male;40;United-States
39;Self-emp-not-inc;597843;Masters;Never-married;Prof-specialty;Female;50;Columbia
45;Private;26781;HS-grad;Married-civ-spouse;Prof-specialty;Male;8;United-States
23;Private;213115;HS-grad;Never-married;Adm-clerical;Female;40;United-States
42;Private;180096;HS-grad;Married-civ-spouse;Handlers-cleaners;Male;60;United-States
35;Private;114765;Bachelors;Divorced;Sales;Female;40;United-States
65;Private;23580;Bachelors;Divorced;Adm-clerical;Female;40;United-States
33;Local-gov;368675;Some-college;Married-civ-spouse;Protective-serv;Male;40;United-States
39;Self-emp-not-inc;107302;Bachelors;Married-civ-spouse;Craft-repair;Male;35;United-States
44;Local-gov;174684;HS-grad;Divorced;Craft-repair;Male;40;United-States
36;Private;196662;Some-college;Never-married;Transport-moving;Male;50;Puerto-Rico
30;Local-gov;99502;Assoc-voc;Divorced;Protective-serv;Female;40;United-States
44;Private;96170;7th-8th;Married-civ-spouse;Transport-moving;Male;20;United-States
45;Self-emp-inc;208049;Assoc-acdm;Divorced;Exec-managerial;Female;40;United-States
58;Private;81038;Some-college;Married-civ-spouse;Sales;Male;12;United-States
23;State-gov;315449;Some-college;Never-married;Adm-clerical;Male;20;United-States
60;Private;135158;Some-college;Married-civ-spouse;Craft-repair;Male;48;United-States
71;Private;139031;HS-grad;Widowed;Prof-specialty;Female;40;United-States
46;Private;358533;Some-college;Married-civ-spouse;Protective-serv;Male;40;United-States
45;Private;34307;Bachelors;Divorced;Prof-specialty;Female;40;United-States
55;Private;227856;Bachelors;Married-civ-spouse;Exec-managerial;Male;60;United-States
33;Private;206707;HS-grad;Divorced;Craft-repair;Male;40;United-States
35;Private;107991;11th;Never-married;Sales;Male;45;United-States
46;Private;91608;Prof-school;Married-civ-spouse;Craft-repair;Male;40;United-States
19;Private;386378;Some-college;Never-married;Other-service;Male;20;United-States
47;Local-gov;218596;Assoc-voc;Divorced;Adm-clerical;Female;40;United-States
31;Local-gov;121055;HS-grad;Married-civ-spouse;Craft-repair;Male;70;United-States
62;Local-gov;242341;Some-college;Divorced;Prof-specialty;Male;40;United-States
34;Private;98101;7th-8th;Married-civ-spouse;Transport-moving;Male;40;United-States
37;Private;355856;Bachelors;Married-civ-spouse;Craft-repair;Male;40;Cambodia
44;Private;267790;9th;Never-married;Other-service;Female;40;United-States
46;Private;251474;Bachelors;Married-civ-spouse;Exec-managerial;Male;60;United-States
47;Private;246891;Bachelors;Married-civ-spouse;Sales;Male;45;United-States
63;Self-emp-not-inc;298249;Bachelors;Married-civ-spouse;Sales;Male;40;United-States
27;Local-gov;204098;HS-grad;Married-civ-spouse;Handlers-cleaners;Male;50;United-States
67;Private;220283;HS-grad;Divorced;Sales;Female;20;United-States
23;State-gov;191165;Some-college;Never-married;Protective-serv;Male;15;United-States
23;Private;82067;Some-college;Never-married;Craft-repair;Male;30;United-States
24;Private;324960;Assoc-acdm;Never-married;Adm-clerical;Male;30;United-States
22;Private;429346;HS-grad;Never-married;Adm-clerical;Male;40;United-States
30;Self-emp-not-inc;229741;HS-grad;Married-civ-spouse;Craft-repair;Male;40;United-States
25;Private;191782;11th;Never-married;Machine-op-inspct;Female;40;United-States
66;Private;344436;HS-grad;Widowed;Sales;Female;8;United-States
19;Private;118535;12th;Never-married;Sales;Female;18;United-States
38;Private;195686;Some-college;Married-civ-spouse;Craft-repair;Male;40;United-States
40;Private;77357;Prof-school;Married-civ-spouse;Prof-specialty;Male;40;United-States
73;Self-emp-inc;159691;Some-college;Divorced;Exec-managerial;Female;40;United-States
33;Private;280111;11th;Never-married;Adm-clerical;Female;38;United-States
43;Private;346189;Masters;Married-civ-spouse;Exec-managerial;Male;50;United-States
29;Private;237865;Masters;Never-married;Transport-moving;Male;40;United-States
41;Federal-gov;260761;Some-college;Married-civ-spouse;Exec-managerial;Male;40;United-States
34;State-gov;318982;Masters;Married-civ-spouse;Machine-op-inspct;Male;40;United-States
45;Private;151518;HS-grad;Married-civ-spouse;Exec-managerial;Male;45;United-States
36;Private;111128;HS-grad;Separated;Craft-repair;Male;40;United-States
33;Private;348152;Some-college;Never-married;Adm-clerical;Male;40;United-States
24;Private;353696;Some-college;Never-married;Other-service;Male;20;Canada
45;Private;38950;Bachelors;Never-married;Craft-repair;Male;40;United-States
34;Self-emp-not-inc;209768;HS-grad;Married-civ-spouse;Exec-managerial;Male;40;United-States
22;Private;41763;HS-grad;Married-civ-spouse;Sales;Male;42;United-States
49;Federal-gov;175428;Some-college;Married-civ-spouse;Adm-clerical;Male;40;United-States
37;Self-emp-inc;257295;Some-college;Married-civ-spouse;Exec-managerial;Male;75;Thailand
44;Federal-gov;306440;HS-grad;Divorced;Craft-repair;Male;40;United-States
47;Private;278900;HS-grad;Married-civ-spouse;Craft-repair;Male;40;United-States
36;Private;231082;Bachelors;Divorced;Prof-specialty;Female;50;United-States
28;Private;197484;HS-grad;Never-married;Handlers-cleaners;Male;40;United-States
33;Private;376483;Some-college;Divorced;Adm-clerical;Female;40;United-States
19;Private;229756;HS-grad;Never-married;Sales;Male;50;United-States
24;Private;140500;10th;Never-married;Sales;Female;40;United-States
30;Private;393965;Assoc-acdm;Divorced;Adm-clerical;Female;25;United-States
32;Private;250853;Assoc-voc;Divorced;Adm-clerical;Male;40;United-States
32;Private;344696;Some-college;Never-married;Machine-op-inspct;Female;40;United-States
65;Private;195695;HS-grad;Divorced;Adm-clerical;Female;40;United-States
32;Private;131584;HS-grad;Married-civ-spouse;Sales;Male;40;United-States
48;Private;162187;Bachelors;Married-civ-spouse;Exec-managerial;Male;48;United-States
31;Private;574005;Bachelors;Married-civ-spouse;Craft-repair;Male;44;United-States
23;Private;197613;Some-college;Never-married;Adm-clerical;Female;40;United-States
24;Private;199444;Bachelors;Never-married;Exec-managerial;Female;15;United-States
56;Local-gov;198277;12th;Never-married;Handlers-cleaners;Male;40;United-States
38;Self-emp-inc;308686;Bachelors;Married-civ-spouse;Prof-specialty;Male;70;United-States
19;Private;255176;HS-grad;Never-married;Adm-clerical;Female;20;United-States
25;Private;173212;Bachelors;Never-married;Prof-specialty;Male;40;United-States
39;Private;103456;Bachelors;Married-civ-spouse;Adm-clerical;Male;45;United-States
62;Private;291904;HS-grad;Divorced;Priv-house-serv;Female;20;United-States
37;Private;52870;Bachelors;Married-civ-spouse;Exec-managerial;Male;40;United-States
57;Self-emp-inc;172654;Prof-school;Married-civ-spouse;Transport-moving;Male;50;United-States
75;Private;186808;11th;Married-civ-spouse;Protective-serv;Male;50;United-States
50;Private;271262;HS-grad;Married-civ-spouse;Transport-moving;Male;40;United-States
25;Private;208591;HS-grad;Never-married;Machine-op-inspct;Male;40;United-States
49;Self-emp-not-inc;165229;Assoc-voc;Married-civ-spouse;Exec-managerial;Male;40;United-States
32;Self-emp-not-inc;151868;HS-grad;Married-civ-spouse;Farming-fishing;Male;65;United-States
28;Private;167737;Bachelors;Widowed;Other-service;Male;50;United-States
46;Self-emp-not-inc;131091;Bachelors;Married-civ-spouse;Sales;Male;40;United-States
33;Private;262439;HS-grad;Married-civ-spouse;Adm-clerical;Female;35;United-States
48;Private;99127;Assoc-acdm;Married-civ-spouse;Transport-moving;Male;45;United-States
52;Private;370552;Preschool;Married-civ-spouse;Machine-op-inspct;Male;40;El-Salvador
23;Local-gov;203353;Bachelors;Never-married;Prof-specialty;Female;45;United-States
57;Private;36091;HS-grad;Separated;Other-service;Female;40;United-States
31;Private;57151;Some-college;Never-married;Craft-repair;Male;40;United-States
44;Self-emp-not-inc;172479;HS-grad;Married-civ-spouse;Farming-fishing;Male;60;United-States
31;Self-emp-not-inc;206609;10th;Never-married;Transport-moving;Male;60;United-States
23;Private;124971;Some-college;Divorced;Adm-clerical;Male;40;United-States
28;Private;202222;Bachelors;Never-married;Sales;Male;40;United-States
54;Private;175262;7th-8th;Married-civ-spouse;Machine-op-inspct;Male;40;United-States
31;Private;225779;HS-grad;Never-married;Machine-op-inspct;Female;40;United-States
59;Private;100313;HS-grad;Married-civ-spouse;Exec-managerial;Male;40;United-States
34;Private;405713;Some-college;Divorced;Machine-op-inspct;Female;40;United-States
21;Local-gov;244074;HS-grad;Never-married;Other-service;Female;22;United-States
18;Private;77845;Some-college;Never-married;Adm-clerical;Male;15;United-States
43;Self-emp-not-inc;95246;Prof-school;Married-civ-spouse;Prof-specialty;Female;5;United-States
35;Self-emp-not-inc;280570;HS-grad;Married-civ-spouse;Exec-managerial;Male;35;United-States
30;Private;203488;HS-grad;Never-married;Craft-repair;Male;50;United-States
42;Local-gov;117227;Masters;Divorced;Prof-specialty;Female;45;United-States
40;Private;220563;12th;Divorced;Craft-repair;Male;40;United-States
48;Private;30289;10th;Married-civ-spouse;Craft-repair;Male;30;United-States
35;Self-emp-inc;99146;Assoc-voc;Married-civ-spouse;Craft-repair;Male;55;United-States
28;Private;308709;Bachelors;Never-married;Sales;Female;48;United-States
49;Self-emp-inc;191681;Some-college;Married-civ-spouse;Exec-managerial;Male;50;United-States
45;Private;176517;Assoc-acdm;Divorced;Prof-specialty;Female;50;United-States
21;Private;38772;Some-college;Never-married;Sales;Male;20;United-States
20;Private;421474;Some-college;Never-married;Sales;Male;20;United-States
30;Self-emp-inc;185384;Some-college;Married-civ-spouse;Exec-managerial;Female;25;United-States
49;Local-gov;46537;HS-grad;Divorced;Adm-clerical;Female;10;United-States
21;State-gov;204425;Some-college;Never-married;Exec-managerial;Female;20;United-States
27;Local-gov;131310;Some-college;Married-civ-spouse;Adm-clerical;Female;40;United-States
42;Self-emp-not-inc;54583;Bachelors;Divorced;Prof-specialty;Female;30;United-States
45;Private;102288;Some-college;Divorced;Adm-clerical;Female;40;United-States
48;Federal-gov;247043;HS-grad;Divorced;Adm-clerical;Male;40;United-States
55;Private;117477;11th;Married-spouse-absent;Other-service;Female;40;Jamaica
48;Private;196107;HS-grad;Divorced;Adm-clerical;Female;30;United-States
25;Private;176520;HS-grad;Never-married;Tech-support;Male;40;United-States
21;Private;170456;Some-college;Never-married;Other-service;Male;35;Italy
26;Private;89389;Some-college;Divorced;Prof-specialty;Female;40;United-States
28;Private;31778;Bachelors;Never-married;Handlers-cleaners;Male;40;United-States
49;Private;27802;Some-college;Married-civ-spouse;Craft-repair;Male;40;United-States
30;Private;363296;HS-grad;Never-married;Handlers-cleaners;Male;72;United-States
35;Private;170195;Some-college;Married-civ-spouse;Tech-support;Male;40;United-States
31;Private;227146;Bachelors;Married-civ-spouse;Sales;Male;55;United-States
47;Local-gov;272182;Some-college;Never-married;Adm-clerical;Male;40;United-States
30;Private;148524;HS-grad;Married-civ-spouse;Transport-moving;Male;40;United-States
54;Private;183611;Some-college;Married-civ-spouse;Sales;Male;50;United-States
22;Federal-gov;262819;Some-college;Never-married;Adm-clerical;Female;40;United-States
21;Private;54472;HS-grad;Never-married;Other-service;Female;40;United-States
20;Private;124751;Some-college;Never-married;Adm-clerical;Female;24;United-States
22;Private;442478;Some-college;Never-married;Sales;Male;20;United-States
41;Private;152617;HS-grad;Divorced;Exec-managerial;Female;40;United-States
30;Private;137606;HS-grad;Married-civ-spouse;Transport-moving;Male;40;United-States
50;Local-gov;173224;Masters;Married-civ-spouse;Prof-specialty;Female;40;United-States
31;Private;254304;10th;Divorced;Craft-repair;Male;38;United-States
23;Private;117606;Bachelors;Never-married;Prof-specialty;Female;40;United-States
44;Private;462838;HS-grad;Divorced;Handlers-cleaners;Female;48;United-States
38;State-gov;200904;10th;Separated;Adm-clerical;Female;40;United-States
27;Federal-gov;409815;Some-college;Divorced;Adm-clerical;Female;50;United-States
32;Private;158002;Some-college;Never-married;Machine-op-inspct;Male;55;Ecuador
48;Private;146497;Bachelors;Married-civ-spouse;Adm-clerical;Female;50;United-States
29;Self-emp-not-inc;109001;Some-college;Married-civ-spouse;Craft-repair;Male;35;United-States
46;Private;54985;HS-grad;Married-civ-spouse;Machine-op-inspct;Male;40;United-States
31;Self-emp-not-inc;283587;HS-grad;Married-civ-spouse;Exec-managerial;Male;50;United-States
46;Local-gov;303918;HS-grad;Married-civ-spouse;Protective-serv;Male;96;United-States
47;Local-gov;324791;Masters;Married-civ-spouse;Prof-specialty;Male;50;United-States
24;State-gov;165201;Some-college;Married-civ-spouse;Adm-clerical;Female;45;United-States
24;Local-gov;187397;Some-college;Never-married;Protective-serv;Male;40;United-States
20;Self-emp-inc;182200;HS-grad;Never-married;Machine-op-inspct;Female;30;United-States
30;Self-emp-inc;68330;Some-college;Married-civ-spouse;Sales;Male;50;United-States
45;Private;264526;Assoc-acdm;Divorced;Machine-op-inspct;Male;40;United-States
62;Private;114060;7th-8th;Married-civ-spouse;Protective-serv;Male;91;United-States
47;Federal-gov;98726;Bachelors;Married-spouse-absent;Exec-managerial;Female;40;United-States
30;Federal-gov;48458;Some-college;Never-married;Adm-clerical;Female;40;United-States
33;Private;180551;Some-college;Separated;Adm-clerical;Female;40;United-States
32;Private;63564;HS-grad;Never-married;Other-service;Female;40;United-States
45;State-gov;259087;Masters;Divorced;Prof-specialty;Female;45;United-States
21;Private;283969;HS-grad;Never-married;Craft-repair;Male;40;Mexico
33;Self-emp-not-inc;281030;HS-grad;Married-civ-spouse;Farming-fishing;Male;94;United-States
29;Private;196116;Prof-school;Divorced;Prof-specialty;Female;72;United-States
54;State-gov;187686;Some-college;Divorced;Adm-clerical;Female;38;United-States
36;Private;321274;Some-college;Married-civ-spouse;Craft-repair;Male;40;United-States
58;Private;190747;HS-grad;Married-civ-spouse;Machine-op-inspct;Male;40;United-States
25;Private;629900;Bachelors;Married-civ-spouse;Prof-specialty;Female;40;United-States
27;Private;706026;11th;Married-civ-spouse;Handlers-cleaners;Male;40;United-States
29;Self-emp-not-inc;132267;Assoc-acdm;Married-civ-spouse;Tech-support;Male;60;United-States
47;Private;129513;Bachelors;Married-civ-spouse;Exec-managerial;Male;60;United-States
35;Private;224889;Bachelors;Married-civ-spouse;Sales;Male;40;United-States
57;Private;109638;Some-college;Married-civ-spouse;Exec-managerial;Male;45;United-States
42;Private;197522;Some-college;Separated;Machine-op-inspct;Female;40;United-States
34;Private;185041;HS-grad;Never-married;Prof-specialty;Female;45;United-States
36;Private;154835;HS-grad;Separated;Adm-clerical;Female;40;Philippines
37;Private;186934;Bachelors;Married-civ-spouse;Prof-specialty;Male;40;United-States
31;Private;403468;Some-college;Separated;Other-service;Female;50;Mexico
42;Private;195124;7th-8th;Married-spouse-absent;Prof-specialty;Male;35;Puerto-Rico
40;Private;436493;HS-grad;Never-married;Other-service;Male;25;United-States
46;Federal-gov;344415;Masters;Married-civ-spouse;Armed-Forces;Male;40;United-States
44;Private;163215;12th;Divorced;Machine-op-inspct;Female;40;United-States
22;Private;237498;HS-grad;Never-married;Other-service;Male;40;United-States
45;Private;320192;1st-4th;Married-civ-spouse;Other-service;Female;40;United-States
47;Local-gov;47270;Assoc-acdm;Separated;Adm-clerical;Female;40;United-States
23;Local-gov;219122;Some-college;Never-married;Protective-serv;Male;40;United-States
22;Private;236684;Assoc-voc;Never-married;Other-service;Female;36;United-States
26;State-gov;158734;Masters;Never-married;Prof-specialty;Female;40;United-States
21;Private;137320;Some-college;Never-married;Adm-clerical;Male;20;United-States
66;Self-emp-not-inc;298834;Assoc-voc;Married-civ-spouse;Prof-specialty;Male;50;United-States
42;Private;227466;HS-grad;Never-married;Other-service;Male;40;United-States
41;Private;131591;HS-grad;Married-civ-spouse;Adm-clerical;Male;45;United-States
32;Private;125279;HS-grad;Divorced;Craft-repair;Male;99;United-States
45;Private;215620;HS-grad;Divorced;Transport-moving;Male;40;United-States
54;Private;307973;HS-grad;Married-civ-spouse;Handlers-cleaners;Male;40;United-States
26;Self-emp-not-inc;284343;Assoc-acdm;Never-married;Craft-repair;Male;40;United-States
42;Private;228456;Bachelors;Separated;Other-service;Male;50;United-States
31;Self-emp-inc;136402;Assoc-acdm;Married-civ-spouse;Sales;Male;40;United-States
39;Self-emp-not-inc;147850;HS-grad;Married-civ-spouse;Transport-moving;Male;30;United-States
33;Federal-gov;182714;Prof-school;Never-married;Prof-specialty;Female;65;United-States
31;Private;62932;HS-grad;Never-married;Craft-repair;Male;40;United-States
18;Private;436163;11th;Never-married;Prof-specialty;Male;20;United-States
23;Private;80680;Some-college;Married-civ-spouse;Sales;Female;16;United-States
27;Private;196044;Some-college;Married-civ-spouse;Craft-repair;Male;60;United-States
26;Private;239877;Bachelors;Never-married;Adm-clerical;Female;40;United-States
49;Local-gov;304246;Masters;Separated;Prof-specialty;Female;70;United-States
24;Private;172987;Bachelors;Married-civ-spouse;Tech-support;Male;50;United-States
56;Private;175127;HS-grad;Divorced;Craft-repair;Male;35;United-States
28;Private;139568;11th;Never-married;Adm-clerical;Male;40;United-States
31;Federal-gov;206857;HS-grad;Never-married;Adm-clerical;Female;40;United-States
37;Private;295949;HS-grad;Married-civ-spouse;Craft-repair;Male;40;United-States
23;Private;184589;Bachelors;Never-married;Prof-specialty;Female;21;United-States
73;Self-emp-not-inc;46514;HS-grad;Married-civ-spouse;Sales;Female;25;United-States
45;State-gov;252208;HS-grad;Separated;Adm-clerical;Female;40;United-States
35;Private;167990;9th;Married-civ-spouse;Machine-op-inspct;Male;40;Canada
59;Self-emp-not-inc;190997;10th;Married-civ-spouse;Exec-managerial;Male;36;United-States
31;Private;260782;Some-college;Married-civ-spouse;Transport-moving;Male;45;El-Salvador
31;Local-gov;220669;Bachelors;Never-married;Prof-specialty;Female;40;United-States
39;Private;156261;Some-college;Divorced;Adm-clerical;Female;38;United-States
70;Private;184176;HS-grad;Divorced;Other-service;Female;28;United-States
60;Self-emp-inc;123218;Some-college;Married-civ-spouse;Exec-managerial;Male;40;United-States
